# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
99 7.846039647329e-02 2.117504388756e-01 -1.151607589635e-10 1.151607589635e-10 8.522210988169e-05 1.255155977811e-05 7.899863597878e-02 1.069670406597e-09 0
100 7.126761570167e-02 2.244994961457e-01 2.121742978803e-10 2.121742978803e-10 7.788037623315e-05 1.266869005814e-05 8.306098674723e-02 9.866423481090e-10 0
101 1.565420698600e-01 1.961860720633e-01 -1.956395240756e-09 1.956395240756e-09 1.648849419587e-04 1.542976154432e-05 7.742416686088e-02 2.544135336672e-09 0
102 1.357022930151e-01 2.107394424404e-01 -1.179719336703e-09 1.179719336703e-09 1.460922507970e-04 1.488421191797e-05 8.127139916915e-02 2.174468020435e-09 0
103 1.350777911184e-01 1.849093731073e-01 -1.294563458253e-09 1.294563458253e-09 1.213678122106e-04 1.424271766959e-05 7.207086242622e-02 1.728607483491e-09 0
104 1.424407179978e-01 1.972782958703e-01 -1.518274814862e-09 1.518274814862e-09 1.415963315255e-04 1.484896865897e-05 7.692589268909e-02 2.102559489048e-09 0
105 1.762701359515e-01 1.816976670972e-01 -2.326128876223e-09 2.326128876223e-09 1.504288361776e-04 1.585427006390e-05 7.348655908777e-02 2.384939394157e-09 0
106 1.762137500775e-01 1.540204485467e-01 -1.609498728310e-09 1.609498728310e-09 1.292996347762e-04 1.482497187926e-05 6.299738242426e-02 1.916863449556e-09 0
107 1.932066645132e-01 1.691863421704e-01 -2.357139031345e-09 2.357139031345e-09 1.462105902973e-04 1.668546018388e-05 7.001577943212e-02 2.439590982867e-09 0
108 1.818968501807e-01 1.683014859381e-01 -2.445749416055e-09 2.445749416055e-09 1.586043512853e-04 1.655335049430e-05 6.884546192162e-02 2.625433416747e-09 0
109 2.612157386249e-01 3.679330158869e-02 -5.235757557865e-09 5.235757557865e-09 1.970991669875e-04 2.180735274153e-05 1.750551921288e-02 4.298211059558e-09 1
