# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
65 2.680992322169e-01 1.593315846205e-01 -1.027190144235e-07 1.027190144235e-07 1.021722829365e-03 8.467731579382e-05 7.323366765510e-02 8.651674667591e-08 0
66 2.988478720126e-01 2.940535672491e-02 -1.330458946728e-07 1.330458946728e-07 1.016441101496e-03 1.074663932558e-04 1.570792838393e-02 1.092332591347e-07 0
67 9.911686954755e-02 2.751450799572e-01 1.135802544342e-08 1.135802544342e-08 7.455674110531e-04 5.733646085875e-05 1.005521488407e-01 4.274819668140e-08 0
68 2.976027267014e-01 5.871787129772e-02 -1.376553123598e-07 1.376553123598e-07 1.042024744239e-03 1.104815993203e-04 2.980239414674e-02 1.151245602748e-07 0
69 2.946819625951e-01 1.169897350524e-01 -1.389556119620e-07 1.389556119620e-07 1.124840517898e-03 1.019591139174e-04 5.739680883491e-02 1.146877425033e-07 0
70 2.404997671318e-01 1.997852256823e-01 -8.272414651285e-08 8.272414651285e-08 9.829197236596e-04 7.562396389604e-05 8.633077406042e-02 7.433228569473e-08 0
71 2.927612947913e-01 1.458175689528e-01 -1.463991031874e-07 1.463991031874e-07 1.191196087501e-03 1.027417747892e-04 7.027845239844e-02 1.223856001519e-07 0
72 2.081932545508e-01 2.405460458526e-01 -1.077547958216e-07 1.077547958216e-07 1.355880067441e-03 8.781779990412e-05 9.763217076198e-02 1.190704044566e-07 0
73 2.832125557327e-02 2.999553025302e-01 4.449778740047e-08 4.449778740047e-08 7.287870596810e-04 5.478567538840e-05 1.058156943696e-01 3.992709127895e-08 0
74 5.656243177318e-02 2.999706727609e-01 3.844045028416e-08 3.844045028416e-08 8.039622259745e-04 5.551816224591e-05 1.064240333493e-01 4.463450530123e-08 0
75 2.656352400126e-01 1.876410630340e-01 -1.175954388207e-07 1.175954388207e-07 1.147588281320e-03 8.812274356710e-05 8.458808969867e-02 1.011286278354e-07 0
76 1.552363396729e-01 2.764496810042e-01 -7.137783569549e-09 7.137783569549e-09 1.021915747065e-03 6.307590727614e-05 1.045624453752e-01 6.445826290589e-08 0
77 3.243736039132e-01 1.471266905124e-02 -1.825252210327e-07 1.825252210327e-07 1.176315834295e-03 1.296384401778e-04 9.538837437761e-03 1.524957499145e-07 0
78 2.366253296637e-01 2.283451290131e-01 -1.131728490033e-07 1.131728490033e-07 1.279703951754e-03 8.519814026382e-05 9.652023546166e-02 1.090283967777e-07 0
79 1.126942595288e-01 3.001962833018e-01 1.110200195676e-08 1.110200195676e-08 1.025093024506e-03 5.921922484978e-05 1.089188017222e-01 6.070521431017e-08 0
80 3.216792949336e-01 7.354953913464e-02 -1.820682682044e-07 1.820682682044e-07 1.233285036633e-03 1.211229553508e-04 3.879425318487e-02 1.493791284269e-07 0
81 3.199830810748e-01 1.028082321008e-01 -1.902710468922e-07 1.902710468922e-07 1.286381892482e-03 1.233856118380e-04 5.324039673273e-02 1.587210168612e-07 0
82 2.045240891218e-01 2.711357987185e-01 -1.150824808879e-07 1.150824808879e-07 1.621837725357e-03 8.985643568667e-05 1.075539705205e-01 1.457325572627e-07 0
83 1.808439733635e-01 2.854649100688e-01 -5.956277488370e-08 5.956277488370e-08 1.391636358904e-03 7.784487803865e-05 1.096730211292e-01 1.083317626330e-07 0
84 1.382471909158e-01 3.005553054373e-01 -2.875292827918e-09 2.875292827918e-09 1.151886820529e-03 5.629487565990e-05 1.106864350857e-01 6.484532533597e-08 0
85 3.157465217651e-01 1.608636948935e-01 -1.994593224439e-07 1.994593224439e-07 1.454354940283e-03 1.133948909200e-04 8.014356802737e-02 1.649164198122e-07 0
86 1.413053440703e-02 3.249730132471e-01 6.841499535503e-08 6.841499535503e-08 8.271452796946e-04 5.589589633225e-05 1.128826198091e-01 4.623402680552e-08 0
87 2.878012694216e-01 2.030346499136e-01 -1.697491235117e-07 1.697491235117e-07 1.449506343701e-03 9.841881445030e-05 9.385178419162e-02 1.426586958852e-07 0
88 7.052263608504e-02 3.248593892628e-01 4.973156980300e-08 4.973156980300e-08 1.161447742788e-03 5.717573209540e-05 1.140869055852e-01 6.640662498443e-08 0
89 9.842327012230e-02 3.248749208308e-01 3.107677070229e-08 3.107677070229e-08 1.294480815421e-03 5.798108940410e-05 1.153256264178e-01 7.505540789082e-08 0
